city,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Downey,347.14,25.02,69.38,7.87,4.31,7.88,82.0
San Buenaventura,233.65,2.16,80.11,0.05,0.53,1.07,112.0
Bend,206.95,0.36,73.67,0.02,0.5,0.55,95.0
Orem,230.31,3.81,77.96,0.59,1.72,2.82,107.0
Escondido,273.71,7.03,89.41,2.09,2.93,4.75,136.0
Whittier,347.14,25.02,69.38,7.87,4.31,7.88,82.0
Arlington,277.04,5.74,84.4,2.03,17.83,34.8,123.0
Bayonne,300.41,4.24,60.08,0.6,6.03,6.57,53.0
Tyler,236.99,2.04,64.37,0.17,2.66,4.56,66.0
Santa Fe,226.97,2.79,81.54,0.28,1.97,2.52,116.0
Bryan,226.97,1.78,80.11,1.71,3.44,5.93,112.0
Hialeah,270.37,14.57,70.81,2.24,5.02,7.15,86.0
Centreville,263.69,4.93,75.1,0.69,3.22,4.57,100.0
Providence,297.07,9.51,58.65,0.94,1.55,2.27,49.0
Cincinnati,320.44,19.88,55.08,5.31,4.24,5.8,46.0
Lewisville,283.72,8.31,82.25,2.71,17.84,35.64,118.0
Hammond,410.56,36.33,31.47,11.09,8.74,14.29,45.0
Jackson,230.31,2.06,90.84,0.46,4.01,8.74,139.0
Wichita Falls,233.65,1.39,91.55,0.59,5.8,13.94,141.0
Jurupa Valley,307.08,12.68,79.39,2.74,4.61,7.56,110.0
Upland,267.03,7.37,80.82,2.21,4.42,6.54,114.0
San Tan Valley,267.03,3.38,92.98,0.92,6.73,17.73,144.0
Austin,247.0,4.58,85.12,1.59,18.67,36.74,125.0
San Antonio,260.35,5.48,77.25,2.12,19.51,38.07,105.0
Coral Springs,243.66,4.46,91.55,0.95,4.83,8.79,141.0
Saint Joseph,243.66,2.83,71.53,1.21,0.96,2.92,89.0
Phoenix,243.66,1.82,101.57,0.41,2.69,8.68,166.0
Surprise,223.64,0.4,108.72,0.1,1.47,5.36,184.0
Duluth,303.75,13.88,30.04,7.15,2.1,3.55,25.0
Fort Wayne,307.08,10.71,55.08,3.99,4.5,5.15,46.0
Brockton,323.77,15.59,48.64,1.03,1.96,3.86,41.0
Memphis,257.02,9.43,71.53,4.41,7.49,17.5,89.0
Huntsville,250.34,3.09,78.68,1.15,7.21,15.44,109.0
Pittsburgh,277.04,13.54,62.23,7.75,2.27,3.25,60.0
Waterbury,287.06,8.14,62.94,3.25,1.5,2.22,62.0
Longview,236.99,3.3,65.8,0.57,3.69,5.14,71.0
Shreveport,233.65,3.43,73.67,0.66,3.28,4.28,95.0
West Covina,257.02,6.17,83.69,1.97,2.73,5.07,121.0
Sunrise Manor,216.96,2.66,86.55,0.62,0.61,2.62,128.0
Indianapolis,383.85,27.76,47.21,2.62,7.46,9.15,40.0
Kirkland,290.39,10.88,73.67,1.91,1.5,2.64,95.0
Delray Beach,250.34,4.8,92.98,0.93,4.17,8.79,144.0
Pasco,240.33,1.14,82.25,0.12,0.5,0.7,118.0
Carson,290.39,11.82,75.1,4.11,2.09,4.07,100.0
Virginia Beach,307.08,12.17,68.67,3.76,4.65,6.15,80.0
Lansing,297.07,11.31,55.79,1.54,1.39,1.62,47.0
Bismarck,243.66,4.54,66.52,6.56,0.5,0.81,73.0
Manchester,253.68,12.0,57.94,3.61,1.83,4.84,49.0
Frederick,253.68,5.01,82.25,2.38,3.47,4.92,118.0
Tucson,226.97,0.68,95.84,0.14,2.95,11.85,152.0
Amarillo,203.61,0.31,90.12,0.14,1.7,5.41,137.0
Broken Arrow,250.34,4.46,83.69,4.41,13.31,27.61,121.0
Arlington Heights,390.53,26.05,43.63,2.06,8.86,10.99,36.0
El Monte,253.68,7.54,77.96,1.73,1.82,5.14,107.0
Billings,236.99,3.68,52.21,5.01,0.5,0.82,44.0
Fontana,257.02,6.94,67.95,0.98,3.37,6.77,77.0
Brooklyn Park,280.38,8.74,41.49,3.87,1.51,2.4,35.0
Waukesha,330.45,12.68,45.78,0.68,5.17,6.8,38.0
Syracuse,310.42,13.2,67.95,127.79,29.42,40.68,92.0
Walnut Creek,310.42,20.39,57.22,10.73,3.62,6.71,48.0
Dallas,253.68,5.27,84.4,1.88,10.56,24.08,123.0
Jersey City,377.18,34.27,35.76,6.02,5.95,9.28,42.0
Stamford,330.45,20.05,47.92,4.53,4.05,5.99,40.0
Canton,233.65,2.79,77.96,3.93,4.87,9.38,107.0
Silver Spring,333.79,17.82,58.65,2.06,4.46,6.5,49.0
Edinburg,273.71,19.54,39.7,3.34,2.13,3.76,33.0
Wilmington,330.45,17.48,60.08,4.71,3.24,4.75,53.0
Gainesville,247.0,4.67,67.95,2.53,3.06,4.93,77.0
Spokane,243.66,1.61,75.82,0.14,0.5,0.58,102.0
Passaic,320.44,17.82,52.93,4.65,3.69,5.83,44.0
Des Moines,433.92,21.59,36.48,1.46,16.89,18.34,52.0
Racine,397.21,28.45,32.9,2.65,7.62,9.34,35.0
West Palm Beach,250.34,3.34,94.41,0.79,5.48,10.2,148.0
Menifee,260.35,6.51,83.69,1.22,2.05,5.44,121.0
Johnson City,263.69,6.43,70.81,1.0,5.28,7.52,86.0
West Valley City,220.3,5.27,74.39,1.49,0.78,1.92,98.0
Framingham,313.76,13.37,48.64,0.75,1.48,2.34,41.0
Rialto,226.97,1.8,85.12,0.32,1.37,5.09,125.0
Chico,257.02,1.71,62.23,0.12,0.5,0.71,60.0
Hesperia,216.96,0.42,92.98,0.02,1.12,6.07,144.0
Visalia,270.37,4.28,64.37,0.51,1.9,2.63,66.0
Richmond,273.71,5.74,76.53,0.94,3.43,4.87,103.0
Bolingbrook,383.85,22.28,46.49,1.82,9.43,11.67,39.0
Springdale,236.99,1.78,87.26,2.09,9.21,19.11,130.0
Baton Rouge,236.99,9.17,87.26,4.47,4.06,8.38,130.0
Carlsbad,263.69,6.51,90.84,2.5,2.1,3.58,139.0
Plantation,263.69,10.8,81.54,2.74,6.6,9.6,116.0
San Francisco,230.31,0.84,80.82,0.22,0.5,0.9,114.0
New Braunfels,236.99,2.34,89.41,4.47,20.15,37.46,136.0
Mission,250.34,2.46,88.69,1.94,16.86,32.81,134.0
Norwalk,330.45,20.05,47.92,4.53,4.05,5.99,40.0
Grand Rapids,297.07,11.14,52.21,4.71,1.26,1.65,44.0
Odessa,280.38,3.68,72.96,1.89,4.5,4.61,93.0
Nashville,290.39,10.37,69.38,1.97,6.9,9.79,82.0
Greensboro,280.38,10.03,73.67,5.13,4.44,7.02,95.0
Fayetteville,236.99,1.78,87.26,2.09,9.21,19.11,130.0
Carmel,317.1,10.97,61.51,1.18,4.82,6.05,57.0
Troy,500.68,47.3,8.94,1.0,6.96,9.67,59.0
Cape Coral,240.33,2.23,82.25,0.16,5.33,7.14,118.0
Highlands Ranch,233.65,8.05,61.51,2.03,0.98,1.37,57.0
Poinciana,257.02,11.14,73.67,3.1,3.42,5.49,95.0
Edmond,267.03,4.67,77.96,0.76,8.66,25.61,107.0
Oceanside,263.69,6.51,90.84,2.5,2.1,3.58,139.0
Fort Lauderdale,257.02,9.6,84.4,2.71,5.82,8.93,123.0
Waukegan,347.14,17.48,50.78,1.25,6.52,8.73,43.0
Temple,233.65,1.5,85.83,0.94,14.56,31.42,127.0
San Marcos,233.65,1.99,85.83,1.16,17.99,34.78,127.0
Appleton,260.35,4.58,60.08,0.22,1.28,1.58,53.0
Kent,260.35,10.03,62.23,1.28,2.87,9.54,60.0
Youngs,293.73,9.94,55.79,1.74,6.56,9.9,47.0
Tuscaloosa,236.99,2.51,75.1,1.7,5.36,9.2,100.0
Schaumburg,360.49,16.45,52.93,1.28,7.93,9.91,44.0
South Bend,333.79,22.62,47.92,5.48,5.58,7.17,40.0
Tustin,320.44,19.88,83.69,7.75,3.2,5.86,121.0
Ames,293.73,8.31,58.65,0.98,4.26,7.92,49.0
Berkeley,367.17,23.31,45.78,5.84,5.31,10.91,38.0
Oxnard,283.72,7.2,77.25,0.81,2.11,3.07,105.0
Broomfield,230.31,3.47,60.8,1.15,0.5,0.64,55.0
Flower Mound,283.72,5.91,86.55,2.09,22.46,41.74,128.0
Fort Smith,236.99,2.25,80.11,2.77,11.99,26.85,112.0
Ann Arbor,293.73,9.25,57.22,0.44,0.65,0.83,48.0
Palm Bay,247.0,3.3,86.55,0.69,2.26,3.49,128.0
Newport News,270.37,4.58,71.53,2.65,3.74,4.97,89.0
Newark,377.18,34.27,35.76,6.02,5.95,9.28,42.0
Seattle,250.34,2.27,92.98,0.72,0.5,0.88,144.0
Cicero,520.71,50.04,22.53,6.26,15.68,20.39,62.0
Durham,280.38,8.91,64.37,2.24,4.56,6.55,66.0
Nashua,290.39,8.91,60.08,0.3,0.91,1.43,53.0
Bellingham,250.34,2.06,69.38,0.49,0.5,0.6,82.0
Denver,226.97,5.83,62.94,1.13,0.54,0.81,62.0
Yonkers,367.17,32.22,37.91,6.44,5.54,8.59,40.0
Santa Clarita,243.66,1.44,80.82,0.23,0.6,0.84,114.0
Caguas,226.97,0.17,39.34,0.14,0.83,1.59,33.0
Spokane Valley,250.34,2.46,75.1,0.22,0.5,0.68,100.0
Lee's Summit,293.73,7.63,60.8,1.37,6.19,6.82,55.0
Lakeland,283.72,17.65,65.09,1.27,4.47,6.84,69.0
Newton,327.11,15.08,47.92,0.87,1.78,3.47,40.0
Pembroke Pines,263.69,10.8,81.54,2.74,6.6,9.6,116.0
Atascocita,243.66,7.37,83.69,3.82,5.45,12.7,121.0
Yuba City,263.69,1.97,55.79,0.11,0.69,1.0,47.0
Las Vegas,216.96,2.66,86.55,0.62,0.61,2.62,128.0
Abilene,226.97,1.1,88.69,0.82,8.56,19.06,134.0
Pharr,253.68,3.09,86.55,5.42,13.42,27.97,128.0
Waldorf,841.14,83.63,0.0,35.29,34.25,43.58,102.0
Pine Hills,287.06,27.76,62.23,1.61,2.99,4.71,60.0
Provo,230.31,3.81,77.96,0.59,1.72,2.82,107.0
Lawton,247.0,2.53,70.81,0.58,7.4,22.93,86.0
Akron,280.38,6.86,65.8,1.03,3.06,4.1,71.0
Livonia,317.1,14.74,47.21,1.16,2.25,2.71,40.0
Omaha,303.75,6.94,36.84,0.98,3.1,3.4,31.0
Glendale,260.35,6.08,76.53,1.64,1.61,3.85,103.0
Knoxville,313.76,14.4,56.51,2.41,7.23,10.31,47.0
Richardson,267.03,8.74,82.97,2.71,11.99,26.69,119.0
Birmingham,253.68,12.0,62.23,3.67,1.97,6.65,60.0
Henderson,216.96,3.34,88.69,0.33,0.5,2.32,134.0
San Diego,257.02,5.4,94.41,1.89,1.8,3.06,148.0
Mount Vernon,263.69,5.18,73.67,3.82,2.6,3.49,95.0
Asheville,247.0,3.9,77.96,0.75,4.59,7.1,107.0
Scottsdale,263.69,2.29,100.14,0.58,2.96,6.59,162.0
College Station,226.97,1.37,78.68,1.31,3.68,6.49,109.0
Riverside,260.35,4.84,88.69,1.25,2.06,5.22,134.0
Rockford,303.75,7.03,60.8,0.77,5.45,6.3,55.0
San Angelo,223.64,0.8,79.39,0.66,7.34,19.11,110.0
Winston-Salem,280.38,5.23,74.39,1.19,4.48,6.95,98.0
Urban Honolulu,,,,,,,
Roseville,287.06,5.57,54.36,0.44,1.34,2.56,46.0
Rancho Cucamonga,257.02,6.94,67.95,0.98,3.37,6.77,77.0
Aurora,343.8,15.25,54.36,0.97,8.1,9.73,46.0
Elizabeth,307.08,13.2,58.65,3.13,3.09,5.19,49.0
Yakima,233.65,1.5,75.1,0.19,0.5,0.72,100.0
Wyoming,297.07,11.14,52.21,4.71,1.26,1.65,44.0
Norfolk,287.06,8.23,70.1,2.71,4.07,5.39,84.0
Redwood City,257.02,6.68,73.67,1.89,1.38,2.43,95.0
Yuma,226.97,0.33,108.72,0.04,3.51,24.03,184.0
Wichita,297.07,10.8,64.37,1.88,6.92,8.56,66.0
Fishers,317.1,10.97,61.51,1.18,4.82,6.05,57.0
Hampton,283.72,7.8,70.81,4.23,3.87,5.08,86.0
Louisville/Jefferson County metro government,,,,,,,
Woodbury,310.42,16.11,36.12,3.07,2.63,3.51,30.0
Eagan,317.1,16.62,34.69,2.8,2.85,3.8,29.0
Portsmouth,243.66,6.08,70.1,1.67,1.84,6.99,84.0
Clovis,267.03,3.81,53.64,0.3,2.27,3.25,45.0
Alameda,280.38,10.37,70.81,3.49,1.92,3.35,86.0
Saint Charles,357.15,25.02,50.07,7.87,7.42,9.78,42.0
Shawnee,300.41,11.14,58.65,2.86,5.91,6.57,49.0
Miramar,270.37,14.57,70.81,2.24,5.02,7.15,86.0
Joliet,343.8,14.74,52.93,1.48,7.98,10.05,44.0
Beaumont,223.64,1.54,89.41,0.86,2.65,7.76,136.0
Fort Collins,223.64,2.68,62.94,2.38,0.76,0.91,62.0
Yorba Linda,554.09,52.09,50.07,13.11,20.99,27.83,65.0
Elk Grove,367.17,16.97,42.2,3.58,4.07,5.34,35.0
Saint Petersburg,280.38,10.8,55.08,12.99,0.92,1.48,46.0
Alafaya,290.39,26.39,60.08,1.71,3.31,4.95,53.0
The Villages,243.66,2.31,81.54,0.19,2.23,3.86,116.0
New Britain,168.56,0.03,3.44,20.27,46.05,46.15,111.0
Lehigh Acres,240.33,2.08,78.68,0.22,5.66,7.21,109.0
Tulsa,253.68,5.44,81.54,5.07,14.99,31.38,116.0
Fargo,243.66,1.34,60.8,0.03,0.5,0.52,55.0
Tracy,260.35,8.4,73.67,2.35,1.5,2.55,95.0
Parma,620.84,26.39,17.52,2.09,29.04,32.77,77.0
Hillsboro,230.31,0.83,80.11,0.06,0.5,0.72,112.0
Warwick,257.02,10.71,64.37,3.31,1.84,6.42,66.0
Toledo,423.91,40.44,16.27,0.38,8.8,12.04,50.0
Minneapolis,283.72,8.65,41.84,0.81,1.6,2.37,35.0
Hollywood,260.35,6.08,76.53,1.64,1.61,3.85,103.0
Temecula,263.69,5.44,81.54,0.89,2.6,5.71,116.0
Waterloo,343.8,12.51,42.2,1.16,8.13,8.66,35.0
Deerfield Beach,243.66,4.71,94.41,1.07,4.63,8.94,148.0
Montgomery,253.68,6.77,75.1,2.71,5.21,9.36,100.0
Fall River,323.77,20.05,52.21,2.15,3.22,4.85,44.0
Cleveland,283.72,5.74,66.52,2.15,2.7,3.4,73.0
Camarillo,240.33,1.52,85.12,0.07,0.89,1.36,125.0
Fort Myers,240.33,2.23,82.25,0.16,5.33,7.14,118.0
Buffalo,287.06,9.77,58.65,1.94,2.53,2.8,49.0
Peoria,427.25,30.85,41.84,2.59,12.59,14.32,40.0
Davenport,467.3,33.24,35.76,2.44,14.82,16.09,48.0
Round Rock,247.0,3.9,88.69,1.52,18.57,37.59,134.0
Lincoln,293.73,7.63,36.12,6.44,2.55,2.82,30.0
Arvada,230.31,3.47,60.8,1.15,0.5,0.64,55.0
Hayward,480.65,42.5,38.98,10.01,15.59,22.35,53.0
Sunnyvale,270.37,8.23,70.81,2.24,2.07,3.6,86.0
Scranton,273.71,6.68,65.09,3.67,1.71,2.35,69.0
Daly City,230.31,0.84,80.82,0.22,0.5,0.9,114.0
Macon,240.33,6.94,77.25,7.75,6.01,13.88,105.0
Irvine,320.44,19.88,83.69,7.75,3.2,5.86,121.0
Jonesboro,267.03,5.48,73.67,2.44,6.63,9.45,95.0
Santa Maria,397.21,1.84,30.04,0.38,1.73,2.04,25.0
Fullerton,554.09,52.09,50.07,13.11,20.99,27.83,65.0
El Cajon,273.71,8.65,94.41,2.86,2.53,3.89,148.0
Costa Mesa,320.44,19.88,83.69,7.75,3.2,5.86,121.0
Huntington Beach,320.44,19.88,83.69,7.75,3.2,5.86,121.0
Santa Ana,320.44,19.88,83.69,7.75,3.2,5.86,121.0
Chino Hills,360.49,24.33,77.25,6.5,9.17,12.85,105.0
Roswell,270.37,10.88,64.37,8.94,8.33,16.35,66.0
Somerville,350.48,23.31,41.49,1.73,2.52,4.39,35.0
Federal Way,243.66,1.36,85.12,0.19,0.5,1.01,125.0
Grand Prairie,257.02,5.74,81.54,2.0,13.04,28.9,116.0
Jacksonville,277.04,10.28,66.52,0.79,4.2,6.68,73.0
Eugene,233.65,0.63,78.68,0.06,0.5,0.75,109.0
Topeka,313.76,14.74,59.37,3.58,7.11,8.06,51.0
Boca Raton,243.66,4.71,94.41,1.07,4.63,8.94,148.0
Evansville,270.37,6.0,74.39,3.22,3.24,4.13,98.0
Mesa,263.69,2.29,100.14,0.58,2.96,6.59,162.0
Tallahassee,257.02,6.51,67.95,0.44,4.1,6.03,77.0
East Orange,307.08,13.2,58.65,3.13,3.09,5.19,49.0
Cranston,293.73,10.2,62.23,0.9,1.67,2.49,60.0
Worcester,283.72,7.28,55.08,0.57,0.84,1.33,46.0
Bloomington,287.06,8.4,63.66,1.91,3.11,3.85,64.0
Compton,290.39,11.82,75.1,4.11,2.09,4.07,100.0
Lake Forest,347.14,17.48,50.78,1.25,6.52,8.73,43.0
North Las Vegas,196.93,0.1,85.83,0.01,0.5,2.28,127.0
Rapid City,220.3,1.05,57.22,0.01,0.5,0.88,48.0
Palatine,360.49,16.45,52.93,1.28,7.93,9.91,44.0
El Paso,196.93,0.38,85.83,0.32,92.56,491.31,384.0
Fresno,300.41,8.57,56.51,1.76,4.24,5.24,47.0
Spring Valley,243.66,7.37,80.11,5.96,5.26,12.29,112.0
Concord,267.03,4.54,70.1,0.12,0.5,0.68,84.0
Corpus Christi,233.65,1.76,74.39,0.97,5.22,11.33,98.0
New York,377.18,34.27,35.76,6.02,5.95,9.28,42.0
Hoover,230.31,1.67,87.26,0.89,3.52,8.71,130.0
Flagstaff,185.25,0.21,77.96,0.01,0.5,1.25,107.0
Layton,210.29,2.4,75.1,0.34,0.88,2.38,100.0
Kansas City,297.07,9.94,60.08,2.44,5.78,6.37,53.0
Gaithersburg,307.08,12.17,63.66,1.8,3.67,5.14,64.0
Lancaster,280.38,8.4,75.82,2.68,2.74,4.36,102.0
Pompano Beach,243.66,4.71,94.41,1.07,4.63,8.94,148.0
Mount Pleasant,236.99,5.1,55.08,6.14,3.61,5.99,46.0
Santa Clara,317.1,17.82,70.1,4.59,5.31,7.79,84.0
Independence,297.07,9.94,60.08,2.44,5.78,6.37,53.0
High Point,277.04,10.37,72.24,4.71,4.47,7.32,91.0
Brentwood,270.37,12.17,69.38,4.89,1.7,2.77,82.0
Clarksville,253.68,4.97,72.96,4.53,4.07,5.59,93.0
Waco,236.99,1.74,85.12,0.85,11.61,26.12,125.0
Westland,307.08,11.65,51.5,0.64,1.16,1.37,43.0
Warner Robins,243.66,4.58,77.96,0.43,4.94,9.35,107.0
South Jordan,250.34,9.34,71.53,2.41,3.28,4.56,89.0
Garland,267.03,8.74,82.97,2.71,11.99,26.69,119.0
Trenton,323.77,19.02,60.08,5.07,3.92,5.66,53.0
Hemet,250.34,5.57,78.68,0.78,2.15,6.1,109.0
Torrance,290.39,11.82,75.1,4.11,2.09,4.07,100.0
New Orleans,250.34,6.17,90.12,2.09,4.26,10.65,137.0
Victorville,216.96,0.42,92.98,0.02,1.12,6.07,144.0
Boulder,213.62,2.61,58.65,1.73,0.83,1.12,49.0
Schenectady,280.38,6.94,54.36,0.19,0.54,0.83,46.0
